ID,id2,X,Y,Z,code,US,Decapages,Longueur,Orientation 1,Pendage 1,Contrainte,Orientation 1,Pendage 1,ID +,Remarque,date,heure
1154,1154,-10.860,5.504,-1.858,OS,US17,-,"8,9",0,12,,,,,sur chant,08/06/2015,12:06:44
1173,1173,-10.502,5.105,-1.845,OS,US17,186-188,n.m.,0,8,,,,,fragmenté,10/06/2015,15:24:17
1275,1275,-10.123,5.058,-1.951,OS,US17,196-198,"9,7",10,26,non,,,,,17/06/2015,11:01:47
1217,1217,-10.185,5.462,-1.896,OS,US17,192-194,"9,1",12,6,non,,,,,13/06/2015,16:10:28
1192_1,1192,-10.525,5.022,-1.868,BOIS,US17,186-188,"15,3",16,6,n. obs,,,,deux points,11/06/2015,15:34:21
1192_2,1192,-10.673,5.016,-1.853,BOIS,US17,186-188,"15,3",16,6,n. obs,,,,deux points,11/06/2015,16:10:42
1264,1264,-10.801,5.579,-1.992,OS,US17,198-200,"3,9",18,4,non,,,,,16/06/2015,17:04:29
1638,1638,-10.121,5.866,-2.104,OS,US18,210-212,"7,4",18,19,,,,,,23/06/2015,15:29:06
1259,1259,-10.491,5.324,-1.946,OS,US17,194-196,"7,2",20,0,non,,,,,16/06/2015,16:36:45
1881,1881,-10.134,5.767,-2.146,OS,US18,212-214,8,27,2,oui,,,BB hum,contre pierre,25/06/2015,12:12:54
1269,1269,-10.656,5.529,-1.989,OS,US17,198-200,"4,5",30,0,non,,,,,16/06/2015,17:10:02
1159,1159,-10.883,5.151,-1.857,OS,US17,182-186,"8,1",34,4,oui,,,,entouré de cailloutis,09/06/2015,13:34:57
1229,1229,-10.634,5.407,-1.966,OS,US17,196-198,"8,6",38,5,non,,,,deux points,15/06/2015,16:53:59
1897,1897,-10.221,5.696,-2.126,OS,US18,212-214,5,45,1,oui,,,,contre une pierre,25/06/2015,14:46:39
1182,1182,-10.957,5.138,-1.871,OS,US17,188-190,"8,6",48,2,non,,,cote rhino,,11/06/2015,11:27:39
1741,1741,-10.643,5.823,-2.089,OS,US18,208-210,"4,4",48,12,oui,,,,dans amas,24/06/2015,11:48:03
1177,1177,-10.824,5.507,-1.873,OS,US17,186-188,"6,6",50,8,non,,,,,10/06/2015,17:19:22
1388,1388,-10.960,5.846,-2.038,OS,US18,202-204,"4,5",50,4,non,,,,,20/06/2015,08:58:49
1459,1459,-10.067,5.308,-2.066,OS,US18,206-208,"5,4",50,13,oui,,,,contre gros bloc,22/06/2015,11:15:20
1766,1766,-10.605,5.691,-2.094,SILEX,US18,208-210,"6,8",58,8,oui,,,,dans amas,24/06/2015,15:13:18
1477,1477,-10.150,5.509,-2.065,OS,US18,208-210,"6,4",59,14,oui,,,,amas et bloc; rogné?,22/06/2015,12:16:48
1568,1568,-10.133,5.243,-2.080,SILEX,US18,208-210,6,60,5,,,,,,23/06/2015,11:18:28
1342,1342,-10.083,5.234,-2.036,OS,US18,202-204,"5,2",64,5,,,,,,19/06/2015,12:09:02
1767,1767,-10.579,5.653,-2.106,OS,US18,208-210,9,70,10,oui,,,,dans amas,24/06/2015,15:14:02
1873,1873,-10.469,5.899,-2.119,OS,US18,212-214,"7,5",74,35,oui,,,,parallèle à 1874,25/06/2015,11:54:58
1336,1336,-10.291,5.247,-2.024,OS,US18,202-204,"6,1",76,10,,,,,remonte avec 1337?,19/06/2015,12:01:58
1337,1337,-10.251,5.196,-2.033,OS,US18,202-204,"4,6",76,4,,,,,remonte avec 1336?,19/06/2015,12:03:39
1874,1874,-10.455,5.932,-2.126,OS,US18,212-214,"6,5",78,25,oui,,,,parallèle à 1873,25/06/2015,11:57:55
1314,1314,-10.945,5.652,-2.006,OS,US18,200-202,"7,8",79,25,oui,,,,en équilibre sur une pièce,18/06/2015,16:38:54
1765,1765,-10.507,5.696,-2.088,OS,US18,208-210,12,84,12,oui,,,,dans amas,24/06/2015,14:03:58
1335,1335,-10.300,5.168,-2.043,OS,US18,202-204,"9,7",88,9,,,,,,19/06/2015,11:58:49
1619,1619,-10.459,5.773,-2.096,OS,US18,210-212,"6,2",88,13,oui,,,,par geofacts,23/06/2015,15:08:50
1368,1368,-10.366,5.740,-2.048,OS,US18,204-206,"5,5",90,14,oui,,,,par autre os,19/06/2015,17:18:01
1243_1,1243,-10.199,5.260,-1.935,OS,US17,192-194,"16,5",99,4,non,,,,,15/06/2015,17:27:05
1123,1123,-10.743,5.565,-1.804,OS,HUM,-,"4,8",101,4,non,,,,,06/06/2015,10:03:07
1221_1,1221,-10.787,5.125,-1.966,OS,US17,194-196,16,102,5,non,,,,deux points,13/06/2015,16:53:39
1221_2,1221,-10.818,5.261,-1.948,OS,US17,194-196,16,102,5,non,,,,deux points,13/06/2015,16:53:58
1523,1523,-10.789,5.611,-2.077,OS,US18,206-208,"6,5",104,6,non,,,,,23/06/2015,09:04:57
1919,1919,-10.582,5.618,-2.120,SILEX,US18,212-214,4,105,14,oui,,,,contre pierres,25/06/2015,15:32:20
1222_1,1222,-10.857,5.527,-1.930,OS,US17,192-194,24,115,0,non,,,rhino fib,deux points,15/06/2015,11:46:12
1222_2,1222,-10.827,5.768,-1.925,OS,US17,192-194,24,115,0,non,,,rhino fib,deux points,15/06/2015,12:07:53
1723,1723,-10.715,5.759,-2.082,OS,US18,208-210,"7,2",122,25,oui,,,,deux frgts (sur os sec); contre une pierre,24/06/2015,11:31:16
1895,1895,-10.349,5.573,-2.131,OS,US18,212-214,"12,9",126,2,oui,,,,dans amas contre pierre,25/06/2015,14:32:26
1487,1487,-10.402,5.643,-2.096,SILEX,US18,208-210,7,150,14,oui,,,nucleus,contre geofact,22/06/2015,14:23:48
1417,1417,-10.860,5.579,-2.039,OS,US18,204-206,"9,6",158,11,,,,,,22/06/2015,09:00:42
1534,1534,-10.845,5.559,-2.081,SILEX,US18,206-208,"5,6",158,8,oui,,,,par geofacts,23/06/2015,09:17:10
1744,1744,-10.564,5.800,-2.080,OS,US18,208-210,"7,6",158,18,oui,,,,dans amas,24/06/2015,11:52:56
1576,1576,-10.255,5.474,-2.083,OS,US18,208-210,"6,6",162,36,,,,,,23/06/2015,11:28:19
1367,1367,-10.398,5.696,-2.061,OS,US18,204-206,5,164,4,oui,,,,par autre os,19/06/2015,17:16:11
1112,1112,-10.325,5.026,-1.824,OS,HUM,-,"4,2",220,15,non,,,,,05/06/2015,16:25:09
1323,1323,-10.695,5.267,-1.998,OS,US18,198-200,"9,2",234,6,,,,rang rib,,18/06/2015,17:21:24
1933,1933,-10.199,5.665,-2.143,SILEX,US18,214-216,"6,9",242,14,oui,,,,sur pierre,25/06/2015,17:08:04
1462,1462,-10.173,5.598,-2.091,SILEX,US18,208-210,"6,5",243,18,oui,,,,dans amas,22/06/2015,11:28:42
1844,1844,-10.361,5.444,-2.117,OS,US18,212-214,6,253,39,oui,,,,cailloux,24/06/2015,17:34:50
1965,1965,-10.183,5.878,-2.170,SILEX,US18,214-216,"6,9",265,3,oui,,,,contre un os,25/06/2015,18:03:42
1255,1255,-10.805,5.020,-1.943,OS,US17,194-196,"9,1",266,2,,,,cote rhino/mamm,fragment dans la coupe J4,16/06/2015,14:18:57
1817,1817,-10.298,5.477,-2.106,OS,US18,212-214,"5,9",268,4,,,,,,24/06/2015,16:28:18
1754,1754,-10.498,5.893,-2.087,OS,US18,208-210,"5,2",274,3,oui,,,,dans amas sur un silex,24/06/2015,11:59:48
1905,1905,-10.203,5.644,-2.124,OS,US18,212-214,"9,5",275,30,oui,,,,dans tuilage,25/06/2015,14:52:16
1959,1959,-10.148,5.952,-2.153,OS,US18,214-216,"8,3",280,12,oui,,,,contre pierre,25/06/2015,17:51:41
1274,1274,-10.486,5.919,-1.964,OS,US17,196-198,"5,6",288,15,n. obs,,,,pris dans la coupe,16/06/2015,17:26:57
1183_1,1183,-10.686,5.228,-1.898,OS,US17,188-190,"17,2",289,4,non,,,,deux points,11/06/2015,11:33:06
1183_2,1183,-10.678,5.368,-1.900,OS,US17,188-190,"17,2",289,4,non,,,,deux points,11/06/2015,11:33:26
